18347
F-F (11675, 0.6363438164277538)
F-V (36, 0.0019621736523682347)
F-P (2961, 0.16138878290728728)
V-V (132, 0.007194636725350194)
V-P (133, 0.007249141549027089)
V-F (75, 0.004087861775767155)
P-P (236, 0.012863138387747315)
P-V (177, 0.009647353790810487)
P-F (2922, 0.15926309478388836)
[(11675, 0.6363438164277538), (36, 0.0019621736523682347), (2961, 0.16138878290728728), (132, 0.007194636725350194), (133, 0.007249141549027089), (75, 0.004087861775767155), (236, 0.012863138387747315), (177, 0.009647353790810487), (2922, 0.15926309478388836)]

