16623
F-F (11349, 0.6827287493232268)
F-V (9, 0.0005414185165132648)
F-P (2336, 0.14052818384166516)
V-V (124, 0.00745954400529387)
V-P (77, 0.004632136196835709)
V-F (33, 0.001985201227215304)
P-P (275, 0.016543343560127533)
P-V (102, 0.006136076520483667)
P-F (2318, 0.13944534680863863)
[(11349, 0.6827287493232268), (9, 0.0005414185165132648), (2336, 0.14052818384166516), (124, 0.00745954400529387), (77, 0.004632136196835709), (33, 0.001985201227215304), (275, 0.016543343560127533), (102, 0.006136076520483667), (2318, 0.13944534680863863)]

