12805
F-F (8840, 0.6903553299492385)
F-V (46, 0.0035923467395548615)
F-P (1670, 0.1304178055447091)
V-V (117, 0.009137055837563452)
V-P (70, 0.005466614603670442)
V-F (66, 0.005154236626317844)
P-P (232, 0.018117922686450606)
P-V (90, 0.007028504490433424)
P-F (1674, 0.1307301835220617)
[(8840, 0.6903553299492385), (46, 0.0035923467395548615), (1670, 0.1304178055447091), (117, 0.009137055837563452), (70, 0.005466614603670442), (66, 0.005154236626317844), (232, 0.018117922686450606), (90, 0.007028504490433424), (1674, 0.1307301835220617)]
