10708
F-F (7202, 0.6725812476652969)
F-V (2, 0.00018677624206200972)
F-P (1536, 0.14344415390362347)
V-V (101, 0.009432200224131491)
V-P (43, 0.004015689204333209)
V-F (22, 0.002054538662682107)
P-P (222, 0.02073216286888308)
P-V (63, 0.005883451624953306)
P-F (1517, 0.14166977960403437)
[(7202, 0.6725812476652969), (2, 0.00018677624206200972), (1536, 0.14344415390362347), (101, 0.009432200224131491), (43, 0.004015689204333209), (22, 0.002054538662682107), (222, 0.02073216286888308), (63, 0.005883451624953306), (1517, 0.14166977960403437)]

