Conductive-Non conductive
-0.12866603595080417 -0.22727272727272727
1 1
-0.10947204968944099 -0.3112449799196787
-0.2894736842105263 -0.85
-0.09829059829059829 1
1 1
1 1
-0.47560975609756095 -0.9696969696969697
1 1
-0.47419354838709676 -0.9807692307692307
-0.14814814814814814 1
1 1
-0.47604790419161674 -0.9821428571428571
-0.31547619047619047 1
-0.6666666666666666 1
-0.08235294117647059 -0.47752808988764045
-0.140625 -0.927536231884058
-0.3160493827160494 -0.47058823529411764
-0.15734265734265734 -0.9662162162162162
1 1
-0.47633136094674555 1
-0.1473429951690821 1
1 1
1 1
-0.8333333333333334 1
-0.14583333333333334 -0.9624060150375939
-0.2261904761904762 1
-0.1 1
-0.44594594594594594 1
-0.31097560975609756 -0.31910569105691056
-0.12593984962406016 -0.9390243902439024
-0.15 1
-0.11175496688741722 -0.31837606837606836
1 1
-0.23125 -0.47530864197530864
-0.19444444444444445 1
-0.07859237536656892 1
-0.3057644110275689 1
-0.11038961038961038 1
1 1
-0.09429824561403509 -0.921875
-0.07337662337662337 -0.12400793650793651
-0.10822147651006711 -0.30952380952380953
-0.03541564190850959 -0.46774193548387094
-0.176 1
-0.06923076923076923 -0.16458333333333333
-0.2916666666666667 -0.9137931034482759
1 1
-0.1488095238095238 -0.9572649572649573
-0.0947940947940948 -0.47333333333333333
-0.2692307692307692 1
-0.14885496183206107 1
-0.29797979797979796 1
-0.3143459915611814 1
1 1
-0.10702614379084967 -0.48742138364779874
-0.2926829268292683 1
-0.18115942028985507 -0.31666666666666665
1 1
-0.14655172413793102 -0.84375
-0.043496985357450474 1
-0.09722222222222222 -0.24132947976878613
-0.4090909090909091 1
1 1
-0.26356589147286824 1
-0.18646616541353384 -0.9635036496350365
1 1
-0.0852760736196319 -0.3196078431372549
1 1
-0.05564648117839607 -0.08391608391608392
-0.08333333333333333 1
-0.14227642276422764 -0.9425287356321839
-0.05188679245283019 1
-0.18156028368794327 -0.9655172413793104
-0.23529411764705882 1
1 1
-0.18385093167701863 -0.31901840490797545
-0.0836940836940837 -0.4523809523809524
1 0.0
-0.18666666666666668 -0.4782608695652174
-0.3333333333333333 1
-0.18382352941176472 -0.4712230215827338
-0.09634317862165963 -0.9698795180722891
-0.17806451612903226 -0.47468354430379744
1 1
-0.4759036144578313 -0.9820359281437125
1 1
-0.18311688311688312 1
-0.2287878787878788 -0.18658536585365854
1 1
1 1
-0.31893004115226337 -0.4815950920245399
-0.47530864197530864 1
1 1
-0.3149284253578732 -0.9696969696969697
1 1
-0.17049180327868851 -0.9230769230769231
-0.22756410256410256 -0.4810126582278481
1 1
-0.47701149425287354 -0.9714285714285714
1 0.0
-0.12165898617511521 -0.475
1 1
1 1
-0.14935064935064934 -0.22756410256410256
-0.07551020408163266 1
1 1
-0.08055555555555556 -0.3090507726269316
-0.03546910755148741 -0.9632352941176471
-0.11352040816326531 -0.18070175438596492
-0.10591133004926108 1
-0.44871794871794873 1
-0.2310126582278481 1
-0.32608695652173914 1
-0.17834394904458598 -0.968944099378882
-0.13194444444444445 -0.9504950495049505
-0.1423728813559322 1
1 1
-0.04270597127739985 1
-0.05744255744255744 1
-0.9767441860465116 1
1 1
-0.2310126582278481 1
 
