19555
F-F (12044, 0.6159038609051394)
F-V (16, 0.0008182050626438251)
F-P (3329, 0.17023779084633087)
V-V (151, 0.0077218102787010995)
V-P (158, 0.008079774993607772)
V-F (30, 0.001534134492457172)
P-P (336, 0.017182306315520327)
P-V (171, 0.00874456660700588)
P-F (3320, 0.16977755049859372)
[(12044, 0.6159038609051394), (16, 0.0008182050626438251), (3329, 0.17023779084633087), (151, 0.0077218102787010995), (158, 0.008079774993607772), (30, 0.001534134492457172), (336, 0.017182306315520327), (171, 0.00874456660700588), (3320, 0.16977755049859372)]

